"Story","Title","Result","Date","Stability","Duration (s)"
"DemoBlaze","Creacion de cuenta <test>","SUCCESS","2024-04-30T22:16:26.893-05:00[America/Bogota]","0.0","49.15"
"DemoBlaze","Inicio de sesion <exitoso>","SUCCESS","2024-04-30T22:24:35.205-05:00[America/Bogota]","0.0","15.55"
"DemoBlaze","Inicio de sesion <test>","SUCCESS","2024-04-30T22:48:38.74-05:00[America/Bogota]","0.0","23.36"
"DemoBlaze","validar el nombre de usuario <test>","SUCCESS","2024-04-30T23:57:35.206-05:00[America/Bogota]","0.0","36.28"
